sentence	lable
dat Holt steiht dar achter in ' n Norden , grad as wenn en Minsch den Rockskragen gegen den Storm upkrempt hett .	1
goot , dat Du wedder dar büst !	1
so klaar dat is , ik heff mi mit Hand un Foot dargegen weert un bin minen Broder Tyge en Tietlang bina fremd waarn , as he in en Breef datsülvige andüden dee .	1
de letzte Wagen , den du mi makt hest , is nu all bucklahm .	1
min Brout un dei Diers , dei ' k 'eschlachet hewwe , un dat Drinkwater , dat es alles füör mine Schaopschîerers , owwer nit füör jäiden Landströüper , bekke daohiär'eloupen küömmet. « David sine Lüü göngen retur un vertallten iëhme alles .	0
jäideräine holl in siner linken Fûst dei Fackel un in diär rechten Hand dat Huorn .	0
düm Kerel makere de Heer ok ne Frugge , awwer nit iut ner Riwwe , näi , auk iut Läimen .	0
iëck sin 'ekuommen , üm diäm Häären te opfern .	0
Au , as edlen Baron , Au well iék im Rôte as viarmols Wiérseihen , iék mak ' Au taur Flicht , tau jegliéker Stunde Minen gehéimen Rôt te besaiken .	0
alles kriemele un wiemele .	0
sine Bröüers käämen met siner ganzen Sippe un huolleren sinen Lîknam .	0
wat harr he denn daan ?	1
as sei nu trurig un ohne Besuargnis diam Mule dias Deukers Iahren Schnawel nöger hiat bracht , bemiark 're 't dei Unhold , Schnapp 're grimmig no iahr un réit dian Kopp iahr hiaraffer .	0
ja , wi harrn uns darto entslaten .	1
weet nich , dat will ik graad von Di hören. « Denn vertell se von eren snaakschen Tostand un von dat ool Taterminsch un wat de seggt harr .	1
se glöövt dat sach sülben nich , wat se seggt , meent Ju ok sach nich , aver se bruukt Mannslüüd , üm Maren ünner de Fööt to krigen .	1
– Fai et op , laiwe Leiseken , fai et op , Kuckelkuiseken ; kuem , slop deu bi mei !	0
> Kommt , Jungs < , sağğe Herr Möller , > Wir müssen weiter. < Äänewann , nao Stunnen , käämen sei bi diäm kleinen Vüörstadtbahnhuowe an , van bo de Isenbahn wîer fouher .	0
Däören un Disseln wett dropp wassen , un wann du daovan liäwen woss , dann maus du harre arwen .	0
owwer hei moche ringsümme im Lanne op diän Hössen dei Opfer brängen .	0
ja , Koptein , man to , man to !	1
usse Hiärguatt woll ne nit splitternakend loten ; hai taug iähme ne engelsliärn Bückse aan , bank me ne Raimen ümme ’ t Leyf un henk üwer seyne Schullern ne bloen Kirel .	0
VIÄRWITZNASE	0
Hüsterloh !	0
ja , ja !	1
en Esel weer he west , as he för so ' n Wief noch en gresig Stück Geld betaal , en groten Esel !	1
denn hei küert siék nit diar !	0
